05/08/2016 16:56 - CHRISTIANO | USUARIO = 11570 | CI = 16944 | STATUS = 3 | DATA = 05/08/2016 16:56 | MOTIVO_CANCELAMENTO = 
05/08/2016 16:56 - CHRISTIANO | USUARIO = 11570 | CI = 16959 | STATUS = 3 | DATA = 05/08/2016 16:56 | MOTIVO_CANCELAMENTO = 
05/08/2016 16:57 - CHRISTIANO | USUARIO = 11570 | CI = 16945 | STATUS = 3 | DATA = 05/08/2016 16:57 | MOTIVO_CANCELAMENTO = 
05/08/2016 16:57 - CHRISTIANO | USUARIO = 11570 | CI = 16965 | STATUS = 3 | DATA = 05/08/2016 16:57 | MOTIVO_CANCELAMENTO = 
08/08/2016 07:57 - ZEZE | USUARIO = 10931 | CI = 16968 | STATUS = 7 | DATA = 08/08/2016 7:57 | MOTIVO_CANCELAMENTO = 
08/08/2016 07:57 - ZEZE | USUARIO = 10931 | CI = 16968 | STATUS = 3 | DATA = 08/08/2016 7:57 | MOTIVO_CANCELAMENTO = 
08/08/2016 08:33 - CARACIOLO | USUARIO = 10840 | CI = 16970 | STATUS = 7 | DATA = 08/08/2016 8:33 | MOTIVO_CANCELAMENTO = 
08/08/2016 08:33 - CARACIOLO | USUARIO = 10840 | CI = 16970 | STATUS = 3 | DATA = 08/08/2016 8:33 | MOTIVO_CANCELAMENTO = 
08/08/2016 09:54 - ROBSONMANFRIM | USUARIO = 11234 | CI = 16967 | STATUS = 7 | DATA = 08/08/2016 9:54 | MOTIVO_CANCELAMENTO = 
08/08/2016 10:03 - ROBSONMANFRIM | USUARIO = 11234 | CI = 16966 | STATUS = 7 | DATA = 08/08/2016 10:03 | MOTIVO_CANCELAMENTO = “Imposto será compensado via PER / DCOMP, entrar em contato com o Dep. Tributário”
08/08/2016 10:03 - ROBSONMANFRIM | USUARIO = 11234 | CI = 16966 | STATUS = 3 | DATA = 08/08/2016 10:03 | MOTIVO_CANCELAMENTO = “Imposto será compensado via PER / DCOMP, entrar em contato com o Dep. Tributário”
08/08/2016 10:07 - ROBSONMANFRIM | USUARIO = 11234 | CI = 16957 | STATUS = 7 | DATA = 08/08/2016 10:07 | MOTIVO_CANCELAMENTO = 
08/08/2016 10:07 - ROBSONMANFRIM | USUARIO = 11234 | CI = 16957 | STATUS = 3 | DATA = 08/08/2016 10:07 | MOTIVO_CANCELAMENTO = 
08/08/2016 10:09 - ROBSONMANFRIM | USUARIO = 11234 | CI = 16955 | STATUS = 7 | DATA = 08/08/2016 10:09 | MOTIVO_CANCELAMENTO = “Imposto será compensado via PER / DCOMP, entrar em contato com o Dep. Tributário”
08/08/2016 10:09 - ROBSONMANFRIM | USUARIO = 11234 | CI = 16952 | STATUS = 7 | DATA = 08/08/2016 10:09 | MOTIVO_CANCELAMENTO = “Imposto será compensado via PER / DCOMP, entrar em contato com o Dep. Tributário”
08/08/2016 10:09 - ROBSONMANFRIM | USUARIO = 11234 | CI = 16952 | STATUS = 3 | DATA = 08/08/2016 10:09 | MOTIVO_CANCELAMENTO = “Imposto será compensado via PER / DCOMP, entrar em contato com o Dep. Tributário”
08/08/2016 10:12 - ROBSONMANFRIM | USUARIO = 11234 | CI = 16951 | STATUS = 7 | DATA = 08/08/2016 10:12 | MOTIVO_CANCELAMENTO = “Imposto será compensado via PER / DCOMP, entrar em contato com o Dep. Tributário”
08/08/2016 10:12 - ROBSONMANFRIM | USUARIO = 11234 | CI = 16951 | STATUS = 3 | DATA = 08/08/2016 10:12 | MOTIVO_CANCELAMENTO = “Imposto será compensado via PER / DCOMP, entrar em contato com o Dep. Tributário”
