06/10/2015 09:28 - RODRIGO_POIT | ID_USUARIO = 11086 | DATA_LOGIN = 06/10/2015 9:28
06/10/2015 09:40 - FRANCISCO | ID_USUARIO = 10966 | DATA_LOGIN = 06/10/2015 9:40
06/10/2015 09:40 - FRANCISCO | ID_USUARIO = 10966 | DATA_LOGIN = 06/10/2015 9:40
06/10/2015 09:42 - STEFANIAESTEVO | ID_USUARIO = 11398 | DATA_LOGIN = 06/10/2015 9:42
06/10/2015 09:42 - MARTA | ID_USUARIO = 10847 | DATA_LOGIN = 06/10/2015 9:42
06/10/2015 09:50 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 06/10/2015 9:50
06/10/2015 09:52 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 06/10/2015 9:52
06/10/2015 10:01 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 06/10/2015 10:01
06/10/2015 10:09 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 06/10/2015 10:09
06/10/2015 10:39 - JT | ID_USUARIO = 10823 | DATA_LOGIN = 06/10/2015 10:39
06/10/2015 10:52 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 06/10/2015 10:52
06/10/2015 10:55 - NORIVAL | ID_USUARIO = 10955 | DATA_LOGIN = 06/10/2015 10:55
06/10/2015 11:14 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 06/10/2015 11:14
06/10/2015 11:16 - ZEZE | ID_USUARIO = 10931 | DATA_LOGIN = 06/10/2015 11:16
06/10/2015 11:19 - MARTA | ID_USUARIO = 10847 | DATA_LOGIN = 06/10/2015 11:19
06/10/2015 11:33 - FRANCISCO | ID_USUARIO = 10966 | DATA_LOGIN = 06/10/2015 11:33
06/10/2015 11:36 - AREIAS | ID_USUARIO = 10997 | DATA_LOGIN = 06/10/2015 11:36
06/10/2015 11:52 - ROBSONMANFRIM | ID_USUARIO = 11234 | DATA_LOGIN = 06/10/2015 11:52
06/10/2015 11:55 - TOM | ID_USUARIO = 10831 | DATA_LOGIN = 06/10/2015 11:55
06/10/2015 11:57 - RODRIGO_POIT | ID_USUARIO = 11086 | DATA_LOGIN = 06/10/2015 11:57
06/10/2015 12:23 - DOUGLAS | ID_USUARIO = 11530 | DATA_LOGIN = 06/10/2015 12:23
06/10/2015 12:29 - TIAGOLIMA | ID_USUARIO = 11092 | DATA_LOGIN = 06/10/2015 12:29
06/10/2015 13:00 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 06/10/2015 13:00
06/10/2015 13:05 - FRANCISCO | ID_USUARIO = 10966 | DATA_LOGIN = 06/10/2015 13:05
06/10/2015 13:05 - FRANCISCO | ID_USUARIO = 10966 | DATA_LOGIN = 06/10/2015 13:05
06/10/2015 13:13 - ROBSONMANFRIM | ID_USUARIO = 11234 | DATA_LOGIN = 06/10/2015 13:13
06/10/2015 13:30 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 06/10/2015 13:30
06/10/2015 13:37 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 06/10/2015 13:37
