06/09/2017 08:19 - AREIAS | USUARIO = 10997 | CI = 21886 | STATUS = 7 | DATA = 06/09/2017 8:19 | MOTIVO_CANCELAMENTO = 
06/09/2017 08:19 - AREIAS | USUARIO = 10997 | CI = 21886 | STATUS = 3 | DATA = 06/09/2017 8:19 | MOTIVO_CANCELAMENTO = 
06/09/2017 08:20 - DOUGLAS | USUARIO = 11530 | CI = 21799 | STATUS = 3 | DATA = 06/09/2017 8:20 | MOTIVO_CANCELAMENTO = mediante ACC
06/09/2017 08:21 - DOUGLAS | USUARIO = 11530 | CI = 21803 | STATUS = 3 | DATA = 06/09/2017 8:21 | MOTIVO_CANCELAMENTO = mediante aprovação ACC
06/09/2017 08:29 - AREIAS | USUARIO = 10997 | CI = 21897 | STATUS = 7 | DATA = 06/09/2017 8:29 | MOTIVO_CANCELAMENTO = 
06/09/2017 08:29 - AREIAS | USUARIO = 10997 | CI = 21897 | STATUS = 3 | DATA = 06/09/2017 8:29 | MOTIVO_CANCELAMENTO = 
06/09/2017 08:39 - SYLVIO | USUARIO = 10914 | CI = 21820 | STATUS = 3 | DATA = 06/09/2017 8:39 | MOTIVO_CANCELAMENTO = 
06/09/2017 08:40 - SYLVIO | USUARIO = 10914 | CI = 21856 | STATUS = 3 | DATA = 06/09/2017 8:40 | MOTIVO_CANCELAMENTO = 
06/09/2017 08:40 - SYLVIO | USUARIO = 10914 | CI = 21859 | STATUS = 3 | DATA = 06/09/2017 8:40 | MOTIVO_CANCELAMENTO = 
06/09/2017 08:40 - SYLVIO | USUARIO = 10914 | CI = 21889 | STATUS = 3 | DATA = 06/09/2017 8:40 | MOTIVO_CANCELAMENTO = 
06/09/2017 08:40 - SYLVIO | USUARIO = 10914 | CI = 21891 | STATUS = 3 | DATA = 06/09/2017 8:40 | MOTIVO_CANCELAMENTO = 
06/09/2017 08:56 - ZEZE | USUARIO = 10931 | CI = 21896 | STATUS = 3 | DATA = 06/09/2017 8:56 | MOTIVO_CANCELAMENTO = 
06/09/2017 08:56 - ZEZE | USUARIO = 10931 | CI = 21898 | STATUS = 3 | DATA = 06/09/2017 8:56 | MOTIVO_CANCELAMENTO = 
06/09/2017 09:50 - REGI | USUARIO = 10864 | CI = 21899 | STATUS = 3 | DATA = 06/09/2017 9:50 | MOTIVO_CANCELAMENTO = ok
06/09/2017 10:15 - JT | USUARIO = 10823 | CI = 21879 | STATUS = 3 | DATA = 06/09/2017 10:15 | MOTIVO_CANCELAMENTO = 
06/09/2017 10:15 - JT | USUARIO = 10823 | CI = 21855 | STATUS = 3 | DATA = 06/09/2017 10:15 | MOTIVO_CANCELAMENTO = 
06/09/2017 10:25 - ZEZE | USUARIO = 10931 | CI = 21900 | STATUS = 7 | DATA = 06/09/2017 10:25 | MOTIVO_CANCELAMENTO = 
06/09/2017 10:25 - ZEZE | USUARIO = 10931 | CI = 21900 | STATUS = 3 | DATA = 06/09/2017 10:25 | MOTIVO_CANCELAMENTO = 
06/09/2017 13:32 - DOUGLAS | USUARIO = 11530 | CI = 21902 | STATUS = 3 | DATA = 06/09/2017 13:32 | MOTIVO_CANCELAMENTO = 
06/09/2017 15:23 - ZEZE | USUARIO = 10931 | CI = 21903 | STATUS = 7 | DATA = 06/09/2017 15:23 | MOTIVO_CANCELAMENTO = 
06/09/2017 15:23 - ZEZE | USUARIO = 10931 | CI = 21903 | STATUS = 3 | DATA = 06/09/2017 15:23 | MOTIVO_CANCELAMENTO = 
06/09/2017 15:23 - ZEZE | USUARIO = 10931 | CI = 21904 | STATUS = 7 | DATA = 06/09/2017 15:23 | MOTIVO_CANCELAMENTO = 
06/09/2017 15:23 - ZEZE | USUARIO = 10931 | CI = 21904 | STATUS = 3 | DATA = 06/09/2017 15:23 | MOTIVO_CANCELAMENTO = 
08/09/2017 10:42 - JT | USUARIO = 10823 | CI = 21908 | STATUS = 7 | DATA = 08/09/2017 10:42 | MOTIVO_CANCELAMENTO = 
08/09/2017 10:42 - JT | USUARIO = 10823 | CI = 21908 | STATUS = 3 | DATA = 08/09/2017 10:42 | MOTIVO_CANCELAMENTO = 
08/09/2017 10:42 - JT | USUARIO = 10823 | CI = 21909 | STATUS = 7 | DATA = 08/09/2017 10:42 | MOTIVO_CANCELAMENTO = 
08/09/2017 10:42 - JT | USUARIO = 10823 | CI = 21910 | STATUS = 7 | DATA = 08/09/2017 10:42 | MOTIVO_CANCELAMENTO = 
08/09/2017 10:42 - JT | USUARIO = 10823 | CI = 21910 | STATUS = 3 | DATA = 08/09/2017 10:42 | MOTIVO_CANCELAMENTO = 
08/09/2017 10:42 - JT | USUARIO = 10823 | CI = 21911 | STATUS = 7 | DATA = 08/09/2017 10:42 | MOTIVO_CANCELAMENTO = 
08/09/2017 10:43 - JT | USUARIO = 10823 | CI = 21912 | STATUS = 7 | DATA = 08/09/2017 10:43 | MOTIVO_CANCELAMENTO = 
09/09/2017 09:55 - ACIR | USUARIO = 10839 | CI = 21913 | STATUS = 3 | DATA = 09/09/2017 9:55 | MOTIVO_CANCELAMENTO = 
11/09/2017 07:52 - WILSONVICTORIA | USUARIO = 6958 | CI = 21914 | STATUS = 7 | DATA = 11/09/2017 7:52 | MOTIVO_CANCELAMENTO = 
11/09/2017 07:52 - WILSONVICTORIA | USUARIO = 6958 | CI = 21914 | STATUS = 3 | DATA = 11/09/2017 7:52 | MOTIVO_CANCELAMENTO = 
11/09/2017 07:53 - HEBERTLUCIO | USUARIO = 11635 | CI = 21858 | STATUS = 3 | DATA = 11/09/2017 7:53 | MOTIVO_CANCELAMENTO = 
11/09/2017 07:53 - HEBERTLUCIO | USUARIO = 11635 | CI = 21883 | STATUS = 3 | DATA = 11/09/2017 7:53 | MOTIVO_CANCELAMENTO = 
11/09/2017 07:53 - HEBERTLUCIO | USUARIO = 11635 | CI = 21885 | STATUS = 3 | DATA = 11/09/2017 7:53 | MOTIVO_CANCELAMENTO = 
11/09/2017 07:54 - HEBERTLUCIO | USUARIO = 11635 | CI = 21895 | STATUS = 3 | DATA = 11/09/2017 7:54 | MOTIVO_CANCELAMENTO = 
11/09/2017 07:54 - HEBERTLUCIO | USUARIO = 11635 | CI = 21909 | STATUS = 3 | DATA = 11/09/2017 7:54 | MOTIVO_CANCELAMENTO = 
11/09/2017 07:54 - HEBERTLUCIO | USUARIO = 11635 | CI = 21911 | STATUS = 3 | DATA = 11/09/2017 7:54 | MOTIVO_CANCELAMENTO = 
11/09/2017 09:23 - GUSTAVOGIRO | USUARIO = 6963 | CI = 21893 | STATUS = 3 | DATA = 11/09/2017 9:23 | MOTIVO_CANCELAMENTO = 
11/09/2017 09:47 - MARCELOGODOI | USUARIO = 11316 | CI = 21905 | STATUS = 7 | DATA = 11/09/2017 9:47 | MOTIVO_CANCELAMENTO = 
11/09/2017 09:47 - MARCELOGODOI | USUARIO = 11316 | CI = 21916 | STATUS = 7 | DATA = 11/09/2017 9:47 | MOTIVO_CANCELAMENTO = 
11/09/2017 10:02 - CAMARA | USUARIO = 10841 | CI = 21918 | STATUS = 3 | DATA = 11/09/2017 10:02 | MOTIVO_CANCELAMENTO = 
11/09/2017 10:40 - TADEUMACHADO | USUARIO = 11594 | CI = 21919 | STATUS = 7 | DATA = 11/09/2017 10:40 | MOTIVO_CANCELAMENTO = 
11/09/2017 10:40 - TADEUMACHADO | USUARIO = 11594 | CI = 21919 | STATUS = 3 | DATA = 11/09/2017 10:40 | MOTIVO_CANCELAMENTO = 
11/09/2017 10:40 - TADEUMACHADO | USUARIO = 11594 | CI = 21852 | STATUS = 7 | DATA = 11/09/2017 10:40 | MOTIVO_CANCELAMENTO = 
11/09/2017 10:40 - TADEUMACHADO | USUARIO = 11594 | CI = 21852 | STATUS = 3 | DATA = 11/09/2017 10:40 | MOTIVO_CANCELAMENTO = 
11/09/2017 10:40 - TADEUMACHADO | USUARIO = 11594 | CI = 21917 | STATUS = 7 | DATA = 11/09/2017 10:40 | MOTIVO_CANCELAMENTO = 
11/09/2017 10:40 - TADEUMACHADO | USUARIO = 11594 | CI = 21917 | STATUS = 3 | DATA = 11/09/2017 10:40 | MOTIVO_CANCELAMENTO = 
