03/08/2017 15:58 - CHRISTIANO | USUARIO = 11570 | CI = 21510 | STATUS = 3 | DATA = 03/08/2017 15:58 | MOTIVO_CANCELAMENTO = 
03/08/2017 15:59 - CHRISTIANO | USUARIO = 11570 | CI = 21458 | STATUS = 3 | DATA = 03/08/2017 15:59 | MOTIVO_CANCELAMENTO = 
03/08/2017 15:59 - CHRISTIANO | USUARIO = 11570 | CI = 21457 | STATUS = 3 | DATA = 03/08/2017 15:59 | MOTIVO_CANCELAMENTO = 
03/08/2017 15:59 - CHRISTIANO | USUARIO = 11570 | CI = 21454 | STATUS = 3 | DATA = 03/08/2017 15:59 | MOTIVO_CANCELAMENTO = 
03/08/2017 15:59 - CHRISTIANO | USUARIO = 11570 | CI = 21504 | STATUS = 3 | DATA = 03/08/2017 15:59 | MOTIVO_CANCELAMENTO = 
03/08/2017 15:59 - CHRISTIANO | USUARIO = 11570 | CI = 21500 | STATUS = 3 | DATA = 03/08/2017 15:59 | MOTIVO_CANCELAMENTO = 
03/08/2017 16:00 - CHRISTIANO | USUARIO = 11570 | CI = 21498 | STATUS = 3 | DATA = 03/08/2017 16:00 | MOTIVO_CANCELAMENTO = 
03/08/2017 16:00 - CHRISTIANO | USUARIO = 11570 | CI = 21455 | STATUS = 3 | DATA = 03/08/2017 16:00 | MOTIVO_CANCELAMENTO = 
03/08/2017 16:55 - AREIAS | USUARIO = 10997 | CI = 21523 | STATUS = 7 | DATA = 03/08/2017 16:55 | MOTIVO_CANCELAMENTO = 
03/08/2017 16:55 - AREIAS | USUARIO = 10997 | CI = 21526 | STATUS = 7 | DATA = 03/08/2017 16:55 | MOTIVO_CANCELAMENTO = 
03/08/2017 18:45 - FERNANDO | USUARIO = 10842 | CI = 21529 | STATUS = 3 | DATA = 03/08/2017 18:45 | MOTIVO_CANCELAMENTO = 
03/08/2017 22:53 - DOUGLAS | USUARIO = 11530 | CI = 21523 | STATUS = 3 | DATA = 03/08/2017 22:53 | MOTIVO_CANCELAMENTO = 
03/08/2017 22:53 - DOUGLAS | USUARIO = 11530 | CI = 21526 | STATUS = 3 | DATA = 03/08/2017 22:53 | MOTIVO_CANCELAMENTO = 
04/08/2017 07:30 - CAMARA | USUARIO = 10841 | CI = 21519 | STATUS = 3 | DATA = 04/08/2017 7:30 | MOTIVO_CANCELAMENTO = 
04/08/2017 07:30 - CAMARA | USUARIO = 10841 | CI = 21520 | STATUS = 3 | DATA = 04/08/2017 7:30 | MOTIVO_CANCELAMENTO = 
04/08/2017 09:30 - ZEZE | USUARIO = 10931 | CI = 21532 | STATUS = 7 | DATA = 04/08/2017 9:30 | MOTIVO_CANCELAMENTO = 
04/08/2017 09:30 - ZEZE | USUARIO = 10931 | CI = 21532 | STATUS = 3 | DATA = 04/08/2017 9:30 | MOTIVO_CANCELAMENTO = 
04/08/2017 09:32 - REGI | USUARIO = 10864 | CI = 21531 | STATUS = 3 | DATA = 04/08/2017 9:32 | MOTIVO_CANCELAMENTO = Ok!...... o C.Custo correto é Caminhões Tanque!...... OBS: Eles irão instalar como teste um Kit para aplicar espuma no momento de combate de incêndio.
 
04/08/2017 09:38 - ROBERTO | USUARIO = 10845 | CI = 21530 | STATUS = 3 | DATA = 04/08/2017 9:38 | MOTIVO_CANCELAMENTO = 
04/08/2017 09:52 - ANITA | USUARIO = 11002 | CI = 21527 | STATUS = 3 | DATA = 04/08/2017 9:52 | MOTIVO_CANCELAMENTO = 
04/08/2017 10:00 - MARCIO | USUARIO = 10850 | CI = 21535 | STATUS = 7 | DATA = 04/08/2017 10:00 | MOTIVO_CANCELAMENTO = 
04/08/2017 10:01 - MARCIO | USUARIO = 10850 | CI = 21534 | STATUS = 3 | DATA = 04/08/2017 10:01 | MOTIVO_CANCELAMENTO = 
04/08/2017 10:04 - TADEUMACHADO | USUARIO = 11594 | CI = 21533 | STATUS = 7 | DATA = 04/08/2017 10:04 | MOTIVO_CANCELAMENTO = 
04/08/2017 10:04 - TADEUMACHADO | USUARIO = 11594 | CI = 21533 | STATUS = 3 | DATA = 04/08/2017 10:04 | MOTIVO_CANCELAMENTO = 
04/08/2017 10:47 - CAMARA | USUARIO = 10841 | CI = 21535 | STATUS = 3 | DATA = 04/08/2017 10:47 | MOTIVO_CANCELAMENTO = 
04/08/2017 11:34 - EDUARDO | USUARIO = 10844 | CI = 21528 | STATUS = 3 | DATA = 04/08/2017 11:34 | MOTIVO_CANCELAMENTO = 
04/08/2017 14:28 - JT | USUARIO = 10823 | CI = 21521 | STATUS = 7 | DATA = 04/08/2017 14:28 | MOTIVO_CANCELAMENTO = 
04/08/2017 14:28 - JT | USUARIO = 10823 | CI = 21521 | STATUS = 3 | DATA = 04/08/2017 14:28 | MOTIVO_CANCELAMENTO = 
07/08/2017 07:46 - WILSONVICTORIA | USUARIO = 6958 | CI = 21540 | STATUS = 7 | DATA = 07/08/2017 7:46 | MOTIVO_CANCELAMENTO = 
07/08/2017 07:46 - WILSONVICTORIA | USUARIO = 6958 | CI = 21540 | STATUS = 3 | DATA = 07/08/2017 7:46 | MOTIVO_CANCELAMENTO = 
07/08/2017 11:45 - TADEUMACHADO | USUARIO = 11594 | CI = 21547 | STATUS = 7 | DATA = 07/08/2017 11:45 | MOTIVO_CANCELAMENTO = 
07/08/2017 11:45 - TADEUMACHADO | USUARIO = 11594 | CI = 21547 | STATUS = 3 | DATA = 07/08/2017 11:45 | MOTIVO_CANCELAMENTO = 
07/08/2017 11:46 - TADEUMACHADO | USUARIO = 11594 | CI = 21548 | STATUS = 7 | DATA = 07/08/2017 11:46 | MOTIVO_CANCELAMENTO = 
07/08/2017 12:07 - HEBERTLUCIO | USUARIO = 11635 | CI = 21493 | STATUS = 3 | DATA = 07/08/2017 12:07 | MOTIVO_CANCELAMENTO = 
07/08/2017 12:07 - HEBERTLUCIO | USUARIO = 11635 | CI = 21543 | STATUS = 3 | DATA = 07/08/2017 12:07 | MOTIVO_CANCELAMENTO = 
07/08/2017 13:25 - GUSTAVOGIRO | USUARIO = 6963 | CI = 21539 | STATUS = 7 | DATA = 07/08/2017 13:25 | MOTIVO_CANCELAMENTO = 
07/08/2017 13:25 - GUSTAVOGIRO | USUARIO = 6963 | CI = 21539 | STATUS = 3 | DATA = 07/08/2017 13:25 | MOTIVO_CANCELAMENTO = 
07/08/2017 13:28 - MARTA | USUARIO = 10847 | CI = 21545 | STATUS = 3 | DATA = 07/08/2017 13:28 | MOTIVO_CANCELAMENTO = 
07/08/2017 13:37 - ZEZE | USUARIO = 10931 | CI = 21546 | STATUS = 3 | DATA = 07/08/2017 13:37 | MOTIVO_CANCELAMENTO = 
07/08/2017 14:49 - ZEZE | USUARIO = 10931 | CI = 21551 | STATUS = 7 | DATA = 07/08/2017 14:49 | MOTIVO_CANCELAMENTO = 
07/08/2017 14:49 - ZEZE | USUARIO = 10931 | CI = 21551 | STATUS = 3 | DATA = 07/08/2017 14:49 | MOTIVO_CANCELAMENTO = 
07/08/2017 15:09 - ZEZE | USUARIO = 10931 | CI = 21552 | STATUS = 7 | DATA = 07/08/2017 15:09 | MOTIVO_CANCELAMENTO = 
07/08/2017 15:10 - MARCIO | USUARIO = 10850 | CI = 21538 | STATUS = 7 | DATA = 07/08/2017 15:10 | MOTIVO_CANCELAMENTO = 
07/08/2017 15:10 - MARCIO | USUARIO = 10850 | CI = 21538 | STATUS = 3 | DATA = 07/08/2017 15:10 | MOTIVO_CANCELAMENTO = 
07/08/2017 15:19 - LUIDE | USUARIO = 10836 | CI = 21536 | STATUS = 7 | DATA = 07/08/2017 15:19 | MOTIVO_CANCELAMENTO = 
07/08/2017 15:19 - LUIDE | USUARIO = 10836 | CI = 21537 | STATUS = 7 | DATA = 07/08/2017 15:19 | MOTIVO_CANCELAMENTO = 
07/08/2017 15:19 - LUIDE | USUARIO = 10836 | CI = 21541 | STATUS = 3 | DATA = 07/08/2017 15:19 | MOTIVO_CANCELAMENTO = 
07/08/2017 15:19 - LUIDE | USUARIO = 10836 | CI = 21542 | STATUS = 3 | DATA = 07/08/2017 15:19 | MOTIVO_CANCELAMENTO = 
07/08/2017 15:39 - MARCELOGODOI | USUARIO = 11316 | CI = 21512 | STATUS = 7 | DATA = 07/08/2017 15:39 | MOTIVO_CANCELAMENTO = 
07/08/2017 15:40 - MARCELOGODOI | USUARIO = 11316 | CI = 21544 | STATUS = 7 | DATA = 07/08/2017 15:40 | MOTIVO_CANCELAMENTO = 
07/08/2017 15:40 - MARCELOGODOI | USUARIO = 11316 | CI = 21549 | STATUS = 7 | DATA = 07/08/2017 15:40 | MOTIVO_CANCELAMENTO = 
