08/03/2016 10:47 - SANTANA | USUARIO = 10904 | CI = 15117 | STATUS = 5 | DATA = 08/03/2016 10:47 | MOTIVO_CANCELAMENTO = FOI SOLICITADO REFEIÇÃO NO RESTAURANTE ERRADO. 

RESTAURANTE CORRETO: DOTTI.
08/03/2016 11:08 - MARTA | USUARIO = 10847 | CI = 15138 | STATUS = 3 | DATA = 08/03/2016 11:08 | MOTIVO_CANCELAMENTO = aprovado.
08/03/2016 12:37 - ROBSONMANFRIM | USUARIO = 11234 | CI = 15139 | STATUS = 3 | DATA = 08/03/2016 12:37 | MOTIVO_CANCELAMENTO = 
08/03/2016 12:37 - ROBSONMANFRIM | USUARIO = 11234 | CI = 15137 | STATUS = 3 | DATA = 08/03/2016 12:37 | MOTIVO_CANCELAMENTO = 
08/03/2016 12:56 - ZEZE | USUARIO = 10931 | CI = 15142 | STATUS = 7 | DATA = 08/03/2016 12:56 | MOTIVO_CANCELAMENTO = 
08/03/2016 12:56 - ZEZE | USUARIO = 10931 | CI = 15142 | STATUS = 3 | DATA = 08/03/2016 12:56 | MOTIVO_CANCELAMENTO = 
08/03/2016 12:56 - ZEZE | USUARIO = 10931 | CI = 15144 | STATUS = 7 | DATA = 08/03/2016 12:56 | MOTIVO_CANCELAMENTO = 
08/03/2016 12:56 - ZEZE | USUARIO = 10931 | CI = 15144 | STATUS = 3 | DATA = 08/03/2016 12:56 | MOTIVO_CANCELAMENTO = 
