02/02/2018 15:26 - MARCOSROGERIO | ID_USUARIO = 11304 | DATA_LOGIN = 02/02/2018 15:26
02/02/2018 15:26 - MARCOSROGERIO | ID_USUARIO = 11304 | DATA_LOGIN = 02/02/2018 15:26
02/02/2018 15:29 - STEFANIMAIRA | ID_USUARIO = 657 | DATA_LOGIN = 02/02/2018 15:29
02/02/2018 15:33 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 02/02/2018 15:33
02/02/2018 15:50 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 02/02/2018 15:50
02/02/2018 15:59 - ADRIANAP | ID_USUARIO = 11103 | DATA_LOGIN = 02/02/2018 15:59
02/02/2018 16:01 - CAMACETI | ID_USUARIO = 10981 | DATA_LOGIN = 02/02/2018 16:01
02/02/2018 16:07 - ZEZE | ID_USUARIO = 10931 | DATA_LOGIN = 02/02/2018 16:07
02/02/2018 16:20 - CAMACETI | ID_USUARIO = 10981 | DATA_LOGIN = 02/02/2018 16:20
02/02/2018 16:27 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 02/02/2018 16:27
02/02/2018 16:30 - JT | ID_USUARIO = 10823 | DATA_LOGIN = 02/02/2018 16:30
02/02/2018 16:31 - MICHELAAUGUSTO | ID_USUARIO = 6893 | DATA_LOGIN = 02/02/2018 16:31
02/02/2018 16:34 - STEFANIMAIRA | ID_USUARIO = 657 | DATA_LOGIN = 02/02/2018 16:34
02/02/2018 16:36 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 02/02/2018 16:36
02/02/2018 16:45 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 02/02/2018 16:45
02/02/2018 17:13 - JT | ID_USUARIO = 10823 | DATA_LOGIN = 02/02/2018 17:13
03/02/2018 07:15 - OTAVIOGIRO | ID_USUARIO = 526 | DATA_LOGIN = 03/02/2018 7:15
03/02/2018 08:07 - FABIOTOMASETTO | ID_USUARIO = 11180 | DATA_LOGIN = 03/02/2018 8:07
03/02/2018 09:10 - NORIVAL | ID_USUARIO = 10955 | DATA_LOGIN = 03/02/2018 9:10
03/02/2018 09:11 - NORIVAL | ID_USUARIO = 10955 | DATA_LOGIN = 03/02/2018 9:11
03/02/2018 09:14 - NORIVAL | ID_USUARIO = 10955 | DATA_LOGIN = 03/02/2018 9:14
03/02/2018 10:25 - JT | ID_USUARIO = 10823 | DATA_LOGIN = 03/02/2018 10:25
05/02/2018 01:50 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 05/02/2018 1:50
05/02/2018 07:11 - OTAVIOGIRO | ID_USUARIO = 526 | DATA_LOGIN = 05/02/2018 7:11
05/02/2018 07:16 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 05/02/2018 7:16
05/02/2018 07:18 - STEFANIMAIRA | ID_USUARIO = 657 | DATA_LOGIN = 05/02/2018 7:18
05/02/2018 07:29 - MICHELAAUGUSTO | ID_USUARIO = 6893 | DATA_LOGIN = 05/02/2018 7:29
05/02/2018 07:31 - MARCIANO | ID_USUARIO = 10973 | DATA_LOGIN = 05/02/2018 7:31
05/02/2018 07:32 - MARCIANO | ID_USUARIO = 10973 | DATA_LOGIN = 05/02/2018 7:32
05/02/2018 07:33 - OTAVIOGIRO | ID_USUARIO = 526 | DATA_LOGIN = 05/02/2018 7:33
05/02/2018 07:36 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 05/02/2018 7:36
05/02/2018 07:40 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 05/02/2018 7:40
05/02/2018 07:40 - MARCIANO | ID_USUARIO = 10973 | DATA_LOGIN = 05/02/2018 7:40
05/02/2018 07:42 - AMANDAZERBINATTI | ID_USUARIO = 11249 | DATA_LOGIN = 05/02/2018 7:42
05/02/2018 07:43 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 05/02/2018 7:43
05/02/2018 07:49 - AZEVEDO | ID_USUARIO = 10858 | DATA_LOGIN = 05/02/2018 7:49
05/02/2018 07:49 - ELISSANDRA | ID_USUARIO = 10851 | DATA_LOGIN = 05/02/2018 7:49
05/02/2018 08:10 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 05/02/2018 8:10
